both 5 3 1.2677
both 5 1 0.0529
both 5 2 249.689999
both 5 4 562.328301
both 5 1 0.0477
both 5 0 724.745
both 5 3 390.2789
both 5 2 392.235699
both 5 0 0.049099
both 5 1 512.365199
both 5 4 260.5674
both 5 4 0.0454
both 5 2 335.1489
both 5 0 0.0744
both 5 1 823.5499
both 5 3 691.1016
both 5 4 385.970699
both 5 2 240.6151
both 5 0 0.0566
both 5 4 328.2327
both 5 0 359.4566
both 5 0 0.0623
both 5 2 0.045999
both 5 3 929.0869
both 5 1 1641.587899
both 5 2 488.6963
both 5 1 0.044
both 5 4 699.966
both 5 0 1178.4049
both 5 2 332.8274
both 5 4 69.3055
both 5 3 1430.132
both 5 4 0.0585
both 5 1 0.045299
both 5 3 100.620401
both 5 0 935.834299
both 5 2 1278.6605
both 5 4 236.282899
both 5 1 327.1269
both 5 0 250.1074
both 5 3 690.0341
both 5 1 19.254501
both 5 4 351.816
both 5 0 509.5933
both 5 2 714.5928
both 5 4 71.157701
both 5 1 341.5928
both 5 3 1387.1681
both 5 2 269.3282
both 5 0 799.6767
both 5 3 84.247401
both 5 1 391.804299
both 5 2 345.968299
both 5 4 1275.6344
both 5 3 0.047001
both 5 0 608.0316
both 5 3 0.0481
both 5 4 657.114201
both 5 1 435.8637
both 5 3 10.199201
both 5 2 1556.5101
both 5 0 520.1238
both 5 1 214.7089
both 5 3 0.0334
both 5 2 283.506601
both 5 0 42.1499
both 5 1 147.9134
both 5 3 154.4889
both 5 2 0.0397
both 5 4 2018.690099
both 5 0 120.9776
both 5 2 0.0387
both 5 3 353.3448
both 5 1 128.0879
both 5 1 0.088101
both 5 4 0.0248
both 5 2 135.6047
both 5 3 534.2427
both 5 0 484.2908
both 5 4 667.019
both 5 1 902.9119
both 5 0 418.9714
both 5 3 409.242501
both 5 2 317.5835
both 5 1 244.8515
both 5 4 395.405301
both 5 3 0.0308
both 5 0 564.3451
both 5 2 0.0325
both 5 4 65.188701
both 5 1 322.552801
both 5 2 465.633
both 5 4 0.0323
both 5 0 1339.3349
both 5 1 0.042399
both 5 3 725.6511
both 5 2 448.3234
both 5 4 211.5437
both 5 0 317.669401
both 5 2 0.0304
both 5 0 0.0367
both 15 10 0.057101
both 15 11 76.3812
both 15 13 0.076899
both 15 12 384.5332
both 15 1 0.058899
both 15 7 1.2073
both 15 3 0.052999
both 15 2 719.412699
both 15 10 0.0487
both 15 14 0.0595
both 15 5 0.0634
both 15 1 0.0651
both 15 12 0.0618
both 15 8 901.121501
both 15 4 1101.408001
both 15 6 503.4925
both 15 5 561.535701
both 15 14 0.063399
both 15 9 1123.755099
both 15 11 293.2953
both 15 13 592.3948
both 15 2 0.081401
both 15 0 1185.014401
both 15 10 552.4248
both 15 7 462.8766
both 15 1 463.135001
both 15 12 569.846
both 15 5 0.0586
both 15 8 423.8846
both 15 14 0.0554
both 15 3 557.1289
both 15 2 474.925399
both 15 9 0.051399
both 15 0 0.0392
both 15 6 594.6863
both 15 13 0.044799
both 15 11 716.286299
both 15 10 801.8292
both 15 4 697.6812
both 15 12 730.0883
both 15 14 0.0677
both 15 1 64.143901
both 15 7 282.2454
both 15 12 0.025499
both 15 11 0.0463
both 15 0 0.0419
both 15 3 74.879799
both 15 5 454.5861
both 15 13 0.0411
both 15 12 173.0685
both 15 2 933.3403
both 15 9 0.0477
both 15 7 0.046601
both 15 6 899.328299
both 15 4 520.0052
both 15 14 0.105899
both 15 11 0.0414
both 15 10 1388.1466
both 15 8 1038.0972
both 15 1 277.9908
both 15 6 0.0495
both 15 7 985.4739
both 15 10 0.0682
both 15 3 574.642799
both 15 2 1116.8754
both 15 0 448.619299
both 15 13 53.0768
both 15 9 1341.391401
both 15 5 1185.3699
both 15 14 533.174299
both 15 8 0.027299
both 15 4 688.654899
both 15 6 306.525
both 15 11 0.0498
both 15 5 74.6047
both 15 7 490.7732
both 15 1 0.043799
both 15 3 0.0384
both 15 9 106.0982
both 15 5 0.035699
both 15 13 0.0448
both 15 4 0.0389
both 15 5 34.8581
both 15 11 0.0469
both 15 10 1366.6157
both 15 0 536.439801
both 15 7 0.0391
both 15 2 441.5853
both 15 13 0.031101
both 15 5 0.038699
both 15 3 571.966399
both 15 9 179.9018
both 15 4 322.3098
both 15 1 71.1139
both 15 6 485.6803
both 15 10 9.999999
both 15 8 1080.1343
both 15 14 1475.509799
both 15 12 3682.2125
both 15 10 0.0417
both 15 5 415.6146
both 30 11 0.0477
both 30 14 0.0444
both 30 3 1.9104
both 30 29 0.202199
both 30 2 524.121001
both 30 20 0.103601
both 30 27 0.047201
both 30 6 0.1053
both 30 25 0.046499
both 30 28 120.709401
both 30 18 0.079701
both 30 4 438.5657
both 30 16 0.048601
both 30 26 495.5395
both 30 21 221.818699
both 30 9 0.0526
both 30 23 0.065299
both 30 14 0.046799
both 30 10 690.546
both 30 12 0.0548
both 30 2 0.0343
both 30 0 0.0631
both 30 1 923.4354
both 30 13 889.4914
both 30 3 275.378399
