P 53124 9.202
P 49769 6.0868
P 45620 5.6879
P 27423 341.7296
P 9540 382.5989
P 14216 342.0691
P 9 0.5101
P 31 286.8036
P 259 265.1103
P 67934 592.965
P 27590 554.3388
P 29975 337.2412
P 27032 458.1173
P 44050 0.0785
K 33986 4.2927
K 42445 0.0225
K 48969 0.0092
K 54129 0.0102
K 72588 0.8999
K 94223 0.018
K 29944 0.0134
P 18691 536.8978
P 57256 461.8066
P 83203 209.1341
P 8404 462.6395
P 11960 463.7055
K 9248 9.775
P 1036 465.4551
P 6597 465.8995
K 51093 0.0313
K 59377 0.0107
P 85884 0.008
K 43686 0.02
P 8370 466.585
K 34861 0.0157
P 6506 0.0072
K 63507 0.0091
P 90403 0.0075
K 50940 0.0111
P 50282 0.006
K 17176 0.0096
P 16040 467.6824
P 37961 468.5609
P 24086 0.006
K 58186 0.0117
P 19302 469.7995
P 98088 208.8676
K 63888 0.0292
K 6887 0.01
K 55691 0.06
P 41167 0.0042
P 99284 475.9477
K 19776 0.0191
P 20580 476.0063
K 61967 0.0151
P 79175 0.0078
K 95457 0.0156
P 32169 0.008
K 50895 0.0095
K 95610 0.0131
P 37890 211.5083
P 33664 290.8024
P 48162 315.3074
P 1138 479.7555
K 87546 0.1667
P 47352 502.3431
K 54679 0.0218
P 78072 503.451
K 29119 0.0445
P 62355 504.9828
K 44535 0.0451
P 43339 0.006
K 61673 0.0117
P 11340 506.2887
K 62342 0.0089
P 29710 0.0058
K 97747 0.0094
P 12408 0.0065
K 1080 0.0092
P 39331 292.771
P 56429 319.4508
P 9389 0.0081
K 55119 0.041
P 11861 0.0053
P 16245 508.4422
P 63924 506.8253
P 19230 508.9914
K 18145 0.0433
P 19181 0.0065
K 59533 20.9149
P 56322 510.9168
K 81427 0.01
K 82084 0.0144
P 3258 511.8276
P 93279 0.0069
K 60720 0.0104
P 35033 512.5445
P 91466 293.5971
K 30536 0.0098
K 91406 0.0192
P 73979 0.0059
P 4995 0.0057
P 36095 293.7731
K 35804 0.0166
P 7571 210.3111
K 1777 0.0092
K 4317 0.0198
P 33030 210.4642
K 53848 0.0091
K 72764 0.0574
P 92131 0.0068
K 63265 0.0087
K 39592 0.0093
P 86462 0.0054
K 87664 0.0089
P 24525 294.5022
P 41541 284.7022
K 83409 0.0241
K 50930 0.0086
P 39482 514.121
P 57545 0.0066
P 75551 0.0067
K 14522 0.0092
P 36537 0.0068
P 5370 514.7817
K 7439 0.0183
P 10300 515.4209
K 34625 0.0191
K 6053 0.0107
K 53929 0.0187
K 70270 0.0167
P 60685 211.5812
K 12659 0.0081
P 14008 517.2899
K 28298 0.0132
P 40822 532.6036
P 78640 534.5526
P 61703 212.1374
K 70231 0.0252
P 19920 0.0063
P 27873 0.0083
P 38280 0.0084
P 54601 0.0057
K 95710 0.0085
P 20677 0.0075
P 63655 0.0061
P 17582 538.7826
K 67758 0.0098
K 26023 0.0345
P 1215 0.0047
P 25364 539.9306
K 43943 0.0135
P 2154 546.1425
K 3234 0.022
K 56223 0.0179
K 38675 0.0164
P 13641 547.5551
K 83352 0.0287
P 46971 548.7533
K 7425 0.0117
K 5174 0.0149
P 5822 549.7861
P 26019 0.0058
K 30394 0.0109
K 43011 0.0109
P 36677 0.0075
P 50315 551.2338
K 64055 0.015
P 27807 0.0046
P 5668 554.0407
P 19265 553.9855
K 93935 0.0101
P 14191 0.0057
P 81651 0.0765
P 17009 554.8568
K 18149 0.0099
P 59155 543.141
P 5752 297.8922
P 29607 212.4614
K 13511 0.0337
P 1150 479.9567
K 20505 0.0435
P 20557 211.8389
K 2292 0.0208
K 73785 0.0459
K 32171 0.0108
P 60177 288.6251
P 23658 288.3939
K 12734 0.0162
K 92308 0.0049
P 18008 288.3985
P 88299 0.0066
P 26164 0.006
K 40906 0.0122
P 35019 0.0063
K 17996 0.0197
P 96288 0.0052
K 43728 0.0088
P 42731 286.5338
P 22383 0.0074
K 68522 0.0133
P 41826 481.4724
P 28270 481.5225
K 19206 0.0111
K 77573 0.0187
P 8093 212.4605
P 59598 0.0074
K 45286 0.0158
P 2236 481.0545
P 51311 0.0071
P 2298 0.0068
K 78023 0.0201
P 4697 481.3119
P 45707 0.0048
K 14269 0.0142
P 9010 0.0069
K 87522 0.0192
P 4228 481.56
P 28343 481.5775
P 14938 481.6263
P 13543 481.0646
P 20678 480.0915
K 34104 0.1098
K 92846 32.1011
P 86923 478.7029
K 23078 0.0251
K 85148 0.0163
P 85710 477.594
K 46941 0.0334
P 75420 477.1162
K 48884 0.0391
P 14874 475.6752
K 40150 0.0231
K 6676 0.0084
K 37242 0.0137
K 49030 0.0102
P 50785 205.917
K 2264 0.0087
K 8299 0.0085
K 29726 0.0097
P 26244 393.8277
K 89707 0.0091
K 42974 0.0116
P 92298 0.0059
K 30239 0.0088
P 72762 393.9806
P 49879 0.0122
P 54935 394.5847
P 15057 477.1381
P 3195 288.8906
P 3554 477.5128
K 37458 0.0443
P 2582 205.9012
K 74809 0.0155
K 21342 0.0119
P 76018 0.0174
K 69383 0.0107
K 10307 0.0121
P 159 0.0067
K 3482 0.0094
P 30493 282.4573
K 3928 0.0086
P 3897 0.0062
P 15889 282.705
K 81416 0.0092
P 61978 0.0058
P 42533 0.0059
K 98974 0.0167
P 91815 0.0051
P 9327 0.0063
K 90926 0.0092
P 1992 0.0063
P 50567 0.0052
K 41854 0.029
P 83386 282.8765
P 3554 282.7524
P 19116 283.1807
K 95689 0.0202
P 63158 0.0275
K 41962 0.015
P 56443 282.8018
P 19852 0.006
K 42865 0.0089
