P 305 0.3024
P 5 153.8322
P 187 1.33
P 689 0.0709
P 756 0.1018
P 49 191.9344
P 1 604.4299
P 1 0.0455
P 1 613.3181
P 6 778.5318
P 111 897.8948
P 320 907.8907
P 600 696.4233
P 214 735.6096
K 431 4.4344
P 78 657.6742
K 978 0.1074
P 169 500.9143
K 287 0.0291
P 649 500.6867
P 49 654.2136
P 455 500.7134
K 177 0.0161
K 953 0.152
P 48 0.0225
P 83 653.1578
K 880 0.0487
K 14 0.0141
P 242 0.0168
P 624 0.0158
K 751 0.0254
P 208 652.8734
P 93 0.0221
P 214 0.0225
P 198 652.4528
P 31 135.5702
P 325 743.7057
K 758 0.0914
K 53 0.0343
K 610 0.0864
P 82 653.952
P 615 746.5253
K 860 0.0168
P 40 747.1385
P 340 0.0249
P 98 747.4355
P 660 0.0415
K 147 0.016
P 250 0.0128
P 324 0.038
K 275 0.7301
K 460 0.0506
P 581 750.0663
P 374 0.0247
P 19 765.1512
K 523 0.0302
K 422 0.2251
K 427 0.2461
P 911 0.063
K 98 0.0739
P 72 792.3301
K 95 0.0553
P 141 794.2426
K 522 0.0207
P 400 0.0193
K 856 0.0141
K 307 0.0124
K 378 0.0139
P 616 0.0189
P 121 0.0146
P 17 788.6137
K 884 0.0475
K 128 0.0175
K 316 0.0175
P 967 0.0277
P 226 796.7448
P 22 797.1374
P 213 0.0173
K 317 0.029
P 780 789.6611
P 52 792.3151
P 164 0.0111
K 366 0.0312
P 274 797.9172
P 109 134.5869
P 36 870.0492
P 20 134.2726
K 410 0.2064
P 309 742.7098
P 682 744.6267
K 831 0.0569
P 126 745.1572
K 518 0.0521
P 485 0.0908
K 901 0.0389
P 442 626.2392
P 38 747.9929
K 485 0.0279
P 366 0.0093
P 254 748.8885
P 384 748.4691
K 80 0.0206
P 55 749.5559
P 13 0.0098
K 589 0.0308
P 697 0.0086
P 490 838.647
K 664 0.082
P 24 838.6666
P 517 132.4545
P 89 838.0944
P 299 838.4343
K 912 0.0486
K 126 0.0883
P 116 837.5982
K 902 0.0899
P 145 0.0133
P 112 836.8965
P 798 836.7946
K 442 0.0398
K 947 0.0298
P 111 836.7521
P 427 836.567
P 581 627.8092
P 242 628.6498
K 620 0.0967
P 288 920.6442
P 24 852.1004
P 194 848.5079
K 420 0.0249
P 438 846.447
K 95 0.12
K 571 0.0123
K 596 0.1207
P 493 144.7212
P 793 927.2482
K 897 0.0169
K 311 0.0084
P 659 0.0366
P 483 938.4549
P 413 876.711
K 235 0.0715
P 436 879.7649
K 609 0.0629
P 174 0.0135
P 4 882.0768
K 21 0.0435
P 386 887.9478
K 771 0.0477
K 879 0.0299
P 880 0.0125
K 19 0.0185
P 152 0.012
P 307 888.5622
K 284 0.1192
K 909 0.0202
K 82 0.1627
P 840 126.116
P 186 0.0085
K 178 0.0288
P 205 0.0063
K 830 0.0206
P 381 0.0122
K 410 0.0149
P 397 0.0058
K 784 0.0242
P 921 0.0139
K 476 0.0277
P 274 0.026
K 860 0.0309
K 192 0.0162
P 240 0.0101
K 709 0.0181
P 998 892.6485
K 937 0.0161
P 322 0.0138
P 182 890.1189
P 17 608.3936
P 786 0.0895
P 266 891.9965
P 571 0.007
K 173 0.2028
P 9 610.1909
P 181 128.0262
K 484 0.0286
P 445 0.0083
K 355 0.042
P 211 639.9111
P 674 640.9261
P 136 0.0141
K 785 1.5323
P 140 642.4752
P 2 643.1918
K 210 0.0559
P 18 127.9858
P 17 653.4633
K 107 0.0727
P 181 610.547
P 79 610.3111
P 246 0.0126
K 796 0.026
P 555 128.4029
K 60 0.0468
P 57 610.121
P 702 0.0042
K 793 0.0368
K 371 0.017
P 492 610.0211
K 42 0.0493
K 299 0.0237
P 60 609.0894
K 700 0.0495
P 108 608.7321
P 122 128.3349
P 24 0.0105
P 232 608.6151
K 224 0.0121
P 10 0.0133
P 270 0.0146
P 37 0.006
K 258 0.048
P 283 608.7573
K 98 0.0346
P 978 0.0075
K 748 0.0348
K 932 0.0153
K 944 0.0143
P 792 608.5624
P 115 0.0093
K 139 0.0134
P 211 0.0124
P 809 608.3759
P 144 0.0125
K 56 0.0146
K 703 0.0267
P 640 0.0153
K 482 0.0234
P 475 0.0095
K 366 0.0272
K 123 0.0213
K 760 0.0303
P 745 131.1635
K 260 0.0356
K 109 0.0277
P 850 0.0119
K 873 0.0321
K 925 0.0129
P 257 610.1858
K 245 0.0173
P 879 609.876
P 146 0.0213
P 486 610.1055
K 507 0.019
P 772 0.0149
P 405 0.0143
K 108 0.0195
K 527 0.0162
P 104 0.0133
K 653 0.0243
K 793 0.0227
P 157 133.6335
K 239 0.0958
P 145 607.9755
K 39 0.0153
P 57 0.0046
K 752 0.0337
P 140 0.0146
K 576 0.0214
P 875 607.7358
