K 21878 5.5128
K 9059 5.3437
P 48222 20.316
K 74467 6.3419
K 31690 5.8783
K 45889 9.2921
P 66615 2.7539
P 71212 0.0568
K 68346 0.034
K 65807 0.0336
P 82122 0.0471
K 925 0.0551
K 46335 0.3413
K 74593 5.5299
P 38110 2.2198
K 3584 0.0263
K 45402 6.0827
P 190 6.02
K 23978 0.3281
P 93025 14.6242
K 12956 1.8146
P 54703 15.9763
P 26376 0.2788
P 75859 15.8232
K 3088 0.6285
P 5477 17.3752
P 26815 0.1014
P 61564 0.0678
P 83292 19.8001
K 67447 2.7742
K 79329 9.6626
K 8809 0.8093
K 18656 1.0451
K 99364 4.1714
P 38586 5.9371
P 57672 0.1107
K 29732 8.5893
P 92601 0.0467
K 82050 0.0291
P 60795 1.671
P 35453 1.0908
P 89547 0.0349
P 21190 0.0413
K 36571 0.0322
P 63620 0.0429
K 50314 0.0459
P 61919 0.0352
K 71997 1.2663
K 19276 1.4233
K 41914 1.2793
P 66764 2.3472
K 77827 1.0574
K 64944 1.067
P 65876 1.4074
P 74133 1.3075
P 47937 0.9329
K 94568 3.9106
P 5370 0.7591
P 95944 1.1111
K 362 1.4483
K 79475 6.3071
P 64071 0.0366
K 6782 0.0885
K 5298 0.0349
K 83100 0.0418
P 4226 0.0473
K 61551 0.0626
P 39642 0.035
K 17686 0.6934
K 18942 0.0393
K 59532 0.0805
P 38616 0.0361
K 54946 0.0324
P 77572 0.0229
P 35512 1.2087
K 93300 1.6385
P 20931 0.1177
K 66448 0.062
P 78594 0.568
K 93467 0.6908
P 42709 0.0358
P 72485 0.0284
P 49418 1.8581
P 32051 0.409
K 58514 0.9819
K 55729 0.0382
P 37618 0.0529
P 26580 0.1795
K 81147 1.0803
P 9881 1.2313
P 23335 1.3723
P 62645 1.3629
K 13187 1.397
P 84299 0.0387
K 77293 1.6081
K 30517 0.0452
P 90577 1.6258
K 11863 2.6835
K 71828 0.0274
K 70428 0.0346
P 14526 0.0338
K 14546 0.0368
P 97940 3.8048
K 30668 0.0369
P 98120 3.5957
P 4285 0.0345
K 7240 0.0439
K 94628 2.2276
K 3056 2.2633
K 82272 3.644
K 26332 0.0597
P 31475 2.4987
P 18122 2.379
P 32532 0.0783
P 71645 0.0666
P 41236 2.4013
K 73901 2.2191
K 70994 2.2409
P 75342 1.6793
K 54461 0.0365
P 40281 0.0358
P 53264 2.0709
K 12646 0.0338
K 4102 1.9465
P 39044 0.0299
K 2962 0.0783
K 97802 2.021
K 37094 2.0483
K 11187 0.0367
P 28772 1.8476
K 807 0.0455
P 83531 4.426
P 39978 0.0336
P 66371 0.0334
K 48204 6.2316
K 51222 0.0704
K 78783 2.1628
K 27359 0.0312
P 39498 2.0686
K 34308 0.0256
K 21905 0.026
K 40287 0.026
P 55239 0.2358
P 42164 0.0446
P 92588 7.4297
K 6066 2.9425
K 71232 0.1257
K 59875 3.1545
P 97879 5.3834
P 66359 3.1234
K 67201 2.9366
P 20873 0.053
K 20146 0.034
K 31140 2.4041
P 19140 0.0435
K 62040 0.0273
K 6964 0.0493
P 31724 2.4385
P 62424 2.8252
P 16338 0.0328
K 37424 0.0387
P 75134 0.0306
K 69139 0.0369
P 62917 10.8157
K 85893 12.0809
K 50385 2.9178
P 12569 0.0376
K 28335 2.9879
K 27762 6.1353
P 81307 2.9341
K 36014 0.0343
P 80787 8.4126
K 32731 0.0526
P 67094 0.0368
P 4052 0.0382
P 27271 2.7232
K 73808 2.8465
K 81513 0.0301
P 28520 0.0362
P 70319 2.5628
K 1090 0.0287
P 2476 0.0518
K 18309 0.0293
P 16618 0.0412
P 46304 0.0509
K 12269 2.9961
K 57728 0.064
K 81226 0.0488
K 29087 3.3024
P 91562 14.211
K 14486 2.9433
P 69656 2.8763
P 6004 0.045
P 68144 2.4365
K 26283 2.3885
K 20318 0.0938
K 69803 0.0898
K 1262 2.3009
K 89367 17.617
P 92012 2.3132
P 90559 16.3762
K 37383 1.6875
K 27871 1.6821
K 67373 7.6257
K 63046 7.5749
P 20656 1.4867
P 76905 7.3159
P 32300 3.9447
P 10147 1.8575
P 43469 6.198
K 17576 1.287
K 47785 1.564
K 97359 3.591
K 3429 1.7296
P 12693 1.4577
P 65427 1.41
P 36503 1.4032
P 17645 5.6152
P 38489 0.0463
P 2199 0.0375
K 99246 1.9698
K 70142 3.6853
P 94123 18.0525
P 77717 3.8914
K 10610 1.921
K 78546 10.1996
K 25218 4.2537
K 75046 22.1324
P 93714 4.0719
P 87746 4.084
K 14232 1.5534
K 79790 1.8744
K 78288 1.8488
K 8415 1.8398
P 96301 1.7205
P 55477 0.0376
P 37840 4.8234
K 40306 2.601
K 20051 2.5397
K 98255 2.7263
K 29688 9.3614
K 6513 0.0311
P 76738 2.232
P 31845 4.8945
P 61767 0.0323
K 31309 2.3094
K 59180 2.43
K 74905 5.2512
P 63929 2.0995
P 61991 4.3117
P 14360 0.1012
P 33238 11.1916
P 2640 0.0299
K 31106 1.8792
K 13868 4.5629
K 58720 11.878
K 67130 2.568
P 33676 1.9132
P 89444 4.7925
P 59152 2.6708
K 80869 1.7596
K 92202 1.8206
P 78008 0.0383
K 42677 0.0413
K 39463 2.0209
K 15519 1.5869
P 93272 1.1784
P 83274 15.5859
P 21073 3.966
P 60 1.1793
K 8751 1.2183
K 69686 1.3321
K 70059 1.2564
P 93496 15.3975
P 40042 1.7107
K 38280 1.2374
K 84910 1.5159
K 58849 1.4972
P 34020 1.464
P 65904 1.3979
P 94810 36.8683
K 17529 1.8903
K 88135 5.4195
K 58326 42.0678
K 7190 0.026
P 50660 1.7122
P 77597 1.6873
P 35886 0.0431
K 24059 1.1404
K 94307 11.369
K 17642 1.0849
K 36933 3.6008
P 81387 1.0899
P 97942 6.7888
K 66389 1.4685
K 64369 1.5073
K 56514 3.3617
K 7106 1.932
P 84773 1.7402
P 81206 10.5552
P 13084 2.0788
K 16279 1.9692
K 71751 7.4752
K 74437 0.0335
K 15902 2.3387
P 57817 2.3655
P 99679 2.2469
K 94557 6.136
K 54014 4.4433
P 73416 2.0451
P 50598 0.0257
P 48950 0.0228
K 96146 5.1462
K 44191 5.2598
K 40933 3.0349
P 26509 2.0099
P 11228 0.0265
P 11017 0.0232
P 52457 0.0234
P 59944 0.0227
K 84962 2.6563
K 58715 2.8515
P 58203 12.9896
P 46134 49.7435
P 62251 4.5074
K 223 1.9905
K 97651 55.955
K 88226 10.6322
P 73757 1.0148
P 89419 12.1086
P 24537 1.3825
K 83638 1.0081
K 19443 1.0505
K 72079 8.4431
K 8533 1.4032
P 663 1.0473
P 41167 19.7852
P 90676 1.2268
P 58445 21.6135
K 19363 1.059
K 53052 15.1566
K 53897 48.4703
K 27509 4.9399
K 40794 0.0217
P 90357 1.1529
P 78117 3.9899
K 22311 1.2963
K 88813 44.5124
K 1026 0.0222
K 42180 1.5957
P 55837 1.4209
P 36676 1.4194
P 42888 3.0433
P 42344 3.0493
K 58403 4.2855
K 70341 4.322
K 57503 3.0154
P 74464 0.9857
P 72198 47.6624
P 14152 1.3953
K 81535 1.2664
K 84888 38.0828
P 99234 2.777
P 64573 1.3798
P 32657 1.3888
K 11800 1.1068
K 54242 4.1878
K 89309 23.3856
K 38744 0.0363
P 99574 9.5294
P 29371 2.276
P 29286 2.4709
P 34591 0.0359
K 72357 4.2887
K 5650 4.1995
K 26895 7.3942
K 20368 6.0177
K 61233 0.0236
P 98542 8.8131
P 72454 3.579
K 11942 1.2429
K 53104 10.3493
K 75700 11.9564
K 31751 8.895
P 95445 65.7557
P 20550 3.3938
P 59616 7.6737
K 53204 0.1269
P 46444 0.0501
K 96391 0.2414
K 32179 0.0208
P 53261 0.0202
K 95788 0.0258
P 87651 0.0327
K 87275 0.024
P 81989 0.0195
K 35759 0.0675
K 92603 0.0204
P 85648 54.1906
K 15396 0.0211
P 77873 54.3629
P 3323 0.0275
K 50069 0.018
K 48591 10.6333
K 23088 30.0509
K 2554 0.0219
