P 363 2.6311
P 165 2.4672
P 38 4.1314
P 257 0.1111
K 672 0.0903
K 742 238.591
P 995 0.037
K 275 0.0621
P 802 3.7589
P 71 3.9312
K 891 0.1275
P 97 1.2569
K 216 0.1842
P 538 0.0402
P 200 3.6678
P 947 0.0398
K 879 0.0959
P 149 0.1535
P 13 4.8524
P 689 9.3892
P 10 4.0781
K 896 1.8471
P 700 1.3341
K 831 240.9558
P 905 1.9447
K 443 0.0611
K 586 0.1106
K 378 241.2191
K 702 241.3388
P 770 0.4964
P 595 1.1381
K 651 1.1724
P 225 2.8886
P 486 0.0838
P 810 0.6272
K 419 4.2976
K 590 245.2472
K 600 0.0654
K 478 0.0691
P 568 3.6923
P 867 3.0355
K 773 1.3695
P 966 0.8934
K 841 0.6305
P 985 6.6883
P 132 1.4547
K 565 7.0392
P 960 1.1983
K 47 10.6067
K 276 0.0674
K 149 0.0673
K 754 0.0499
P 917 8.4969
K 207 0.0586
K 176 11.295
P 617 1.0941
P 877 10.4261
K 987 0.7777
K 529 0.0642
K 328 6.206
P 68 12.5106
P 315 16.456
P 942 0.0469
P 165 13.9587
K 936 6.6655
K 889 258.1382
K 26 0.0711
K 814 15.994
K 174 0.0548
P 935 1.1576
P 923 0.0791
P 159 18.9084
P 368 0.0587
K 756 1.1632
K 397 0.0471
K 558 0.0453
P 521 1.51
P 828 0.0554
K 210 0.7379
K 306 19.3909
K 780 0.0588
P 918 1.2255
P 276 0.0774
P 59 0.07
K 296 0.9717
P 380 0.0514
K 493 0.0559
K 591 0.0614
K 651 0.0528
P 198 0.049
P 213 0.0568
P 809 0.0478
P 114 0.067
P 488 0.0513
P 191 0.0345
K 581 5.4292
K 460 0.0482
K 100 0.0515
K 30 0.0698
K 224 0.0434
K 386 0.0739
P 579 7.6194
P 561 0.0529
K 614 1.8864
P 991 0.6476
K 714 0.3478
P 586 17.6601
K 881 0.0664
P 721 0.6941
K 925 0.8446
P 951 0.7293
P 604 0.0457
K 510 0.8209
K 810 0.0572
K 455 0.0648
P 453 1.2303
P 537 0.0468
K 706 1.1958
K 116 0.0474
K 119 0.0453
P 982 2.6157
P 704 0.0651
K 214 1.006
K 632 26.8982
P 753 32.9839
K 730 25.1608
K 11 281.5309
P 574 7.7204
K 481 0.0759
P 114 0.6475
P 29 0.1572
K 943 0.7038
P 377 24.1298
P 336 0.0496
P 772 0.0521
K 315 0.0518
P 35 0.0427
P 390 0.0284
K 630 0.0694
K 359 0.9214
K 364 0.0495
P 574 1.3599
K 816 1.4236
P 984 2.0385
K 644 0.04
P 800 0.0419
K 819 0.0392
P 712 0.038
K 63 0.0376
P 214 0.0381
P 348 0.0428
P 884 0.0425
K 999 0.0387
P 215 0.0432
K 215 0.0994
K 131 32.2366
K 397 0.0569
K 204 0.0589
K 658 0.0329
P 740 6.3508
P 254 0.0491
K 675 1.5969
P 709 5.3256
P 31 0.0432
K 755 8.6762
P 824 46.6268
K 822 0.7254
P 369 0.0736
P 911 8.6515
K 349 0.4918
P 110 0.0419
K 976 0.0617
P 505 37.2075
P 374 0.0476
K 616 31.6314
P 842 37.9846
K 466 47.8297
P 280 0.0455
K 655 0.0561
P 658 0.0442
K 427 0.0504
P 700 0.0596
K 333 0.0508
P 283 0.0464
K 937 0.0498
K 666 0.035
P 468 3.9819
P 768 0.0573
P 19 0.0517
P 439 0.0469
K 847 2.6551
K 591 0.1283
P 752 20.9227
P 74 0.0534
K 551 19.6731
K 490 0.06
P 916 1.5011
K 374 0.0586
P 372 0.045
P 414 0.1068
K 95 0.0477
K 640 0.0945
K 448 0.0465
P 570 3.2999
P 540 0.0476
P 31 0.0411
K 570 5.0361
K 490 0.0544
K 239 0.0384
K 111 0.04
P 888 4.8688
P 450 0.0603
P 173 0.0463
K 508 8.2778
K 83 0.0689
K 74 0.045
P 510 6.4971
K 133 0.057
P 265 0.0502
K 802 0.0468
P 527 0.0589
K 240 0.0409
K 711 0.0474
P 980 4.3471
K 633 4.5088
K 330 0.0577
K 401 0.0415
P 697 0.9571
P 11 0.6134
P 362 0.1281
P 493 108.5029
K 870 88.2206
P 669 0.0469
P 403 0.0658
K 352 0.0635
K 315 0.0501
K 140 0.0562
K 830 0.0694
P 606 2.0079
P 474 0.049
P 8 0.0397
K 620 2.4456
K 330 0.0605
P 779 1.6453
P 546 0.0463
K 409 4.0255
K 530 0.0489
K 337 0.0403
K 288 0.0378
P 987 2.0046
P 254 0.0487
K 290 6.2893
K 817 0.0424
K 185 0.0352
P 686 6.3965
P 38 0.0526
P 538 0.0442
P 543 0.0381
K 618 1.88
K 193 0.0458
K 54 0.0342
K 912 0.0958
P 781 15.9523
P 958 0.0471
K 187 2.5583
K 721 99.9826
P 417 2.4687
K 948 0.0441
K 344 3.1256
K 158 0.0908
P 583 0.0821
P 578 0.0439
P 650 0.0354
K 126 0.368
K 634 2.5217
K 172 0.0506
K 27 0.0419
P 854 5.7851
K 914 3.5089
K 396 0.0347
P 485 0.9059
P 658 0.0336
K 915 0.6929
P 980 0.5348
K 661 0.9068
P 696 0.8099
K 850 0.6494
P 604 0.5402
P 459 0.0323
K 717 1.8649
K 159 0.0418
K 595 0.0509
P 981 3.6379
P 543 0.0339
K 833 1.4293
P 558 0.7088
P 312 0.0291
P 121 0.0274
K 972 1.0132
K 799 0.0279
P 543 0.8704
P 687 0.0299
K 908 0.7463
P 859 0.4075
P 47 0.0288
K 943 0.7194
P 782 0.5291
P 639 0.0293
K 828 0.6311
K 344 0.0377
K 562 0.07
P 172 1.6202
P 131 0.0366
P 6 0.0249
P 290 0.0243
P 606 0.0244
P 549 0.0242
K 749 1.5283
K 685 0.027
K 162 0.0256
K 268 0.0248
P 381 1.5272
P 203 0.0279
P 691 0.025
K 606 1.3215
K 537 0.0277
P 926 0.9295
P 375 0.1007
P 160 0.029
K 704 1.0039
P 665 0.9813
P 186 0.0291
K 947 1.1933
P 693 0.4138
K 820 1.0578
K 112 0.0276
P 677 0.7661
P 263 0.0275
P 456 5.4674
K 625 7.727
K 47 0.0328
K 785 0.0301
K 400 0.0241
P 782 2.8709
P 701 0.1718
K 663 1.7469
K 199 0.0286
K 323 0.0244
K 343 0.024
P 494 1.9409
P 360 0.0276
P 271 0.0244
P 734 0.0227
K 959 1.3072
K 828 0.0292
P 659 0.819
P 49 0.058
P 750 0.0247
K 232 1.6352
K 758 0.0361
K 100 0.1628
P 635 2.7917
P 286 0.0264
P 142 0.0207
K 802 2.6219
K 658 0.0694
P 811 0.9288
P 318 0.0266
P 142 0.0249
P 479 0.0239
K 172 1.1889
K 118 0.0268
K 815 0.0236
P 537 0.8883
P 578 0.027
K 753 0.7657
K 362 0.0258
K 470 0.0247
P 994 0.8713
P 160 0.0297
K 959 1.3127
K 377 0.0296
P 953 1.4491
P 511 0.0319
K 224 0.838
K 576 0.0252
P 589 0.625
K 791 0.436
K 111 0.0243
P 749 0.599
P 98 0.0256
K 794 0.5879
K 296 0.0252
P 735 0.6945
P 999 0.0252
K 420 0.62
K 136 0.0231
K 419 0.0218
K 510 0.0305
K 277 0.0222
K 105 0.022
K 50 0.0218
P 286 1.415
P 378 0.0322
P 440 2.8055
P 31 0.0312
P 479 0.026
P 41 0.0682
K 126 10.1595
K 29 0.0482
K 928 0.0674
P 336 2.927
P 692 0.0219
K 624 0.8314
K 516 0.0218
P 632 0.7488
P 133 0.0212
P 325 0.0183
P 93 0.0187
P 80 0.0173
K 873 0.9336
K 408 0.0199
P 655 0.6241
P 39 0.0313
P 136 0.0223
K 529 1.6106
K 58 0.0242
K 491 0.0191
P 780 0.8372
P 789 0.0217
K 824 0.6097
P 294 0.3508
K 990 0.4333
P 825 0.4
K 151 174.3362
P 917 0.027
P 65 171.7423
K 281 0.0285
K 723 0.0249
K 321 0.0222
P 546 1.065
P 416 0.0256
P 533 174.3681
K 867 1.0131
K 419 208.9485
K 647 0.0229
P 858 173.1614
K 369 0.0348
P 350 0.0287
P 433 176.8639
P 59 0.0214
P 231 0.0216
K 684 0.5153
P 383 0.2676
K 378 0.0289
K 774 174.3514
P 990 0.0215
K 74 0.0236
K 872 0.0247
P 175 0.0194
P 890 0.0203
P 425 211.5165
K 652 0.5671
P 524 0.4767
K 39 184.9386
K 601 0.0473
K 494 122.7567
K 504 0.0217
P 405 210.9035
P 885 0.0224
K 155 0.2492
K 566 0.4745
K 532 175.9017
K 873 0.0217
P 885 0.2248
P 725 0.0267
P 274 174.1764
P 737 0.0811
K 919 0.8948
K 153 0.0219
P 980 0.6026
K 583 0.0194
K 357 1.8813
P 690 0.025
K 165 0.019
K 448 0.0252
P 142 0.0203
K 561 0.0229
P 868 0.0249
K 972 0.0228
P 391 0.02
K 717 0.0232
P 110 0.0865
P 524 0.0215
P 154 5.4747
P 911 1.3819
K 301 3.4173
K 25 8.5087
