P 2557 308.9212
P 5368 282.6439
K 5757 158.8855
K 1796 261.6136
K 8920 0.0767
P 2136 0.0825
P 1779 0.0489
P 2619 329.4131
K 105 0.0642
K 9083 88.6706
K 9016 234.7755
P 5662 326.8595
P 6950 201.5373
K 8438 127.017
K 5601 263.2163
P 3273 207.8017
K 6924 258.2005
P 5270 0.0635
P 5133 149.4183
P 3946 182.7861
P 9030 307.3741
K 7858 156.8743
P 2049 275.4729
K 557 113.6997
P 2710 183.0968
P 5032 166.909
K 2285 265.0214
K 8054 249.5217
P 7378 306.4728
P 2215 312.9079
P 4983 259.4768
K 7483 238.2431
P 983 177.2742
K 7424 88.9134
K 845 237.2197
K 5526 312.3568
P 3535 325.194
P 4421 198.1646
K 3895 251.7819
P 2692 328.3135
K 9998 12.0393
P 4064 319.5644
P 176 305.3906
P 7097 311.9187
K 3489 41.7341
K 8075 1.3209
P 7589 1.035
P 4787 0.8604
P 8150 261.1618
P 4124 202.9124
P 8073 339.3031
K 8200 113.3906
K 8494 303.0773
P 3217 242.7778
K 244 303.8721
K 2225 96.1994
K 5816 224.0296
K 5928 303.694
K 9541 304.0858
K 9103 227.0454
P 5684 7.5732
P 3062 293.15
P 468 255.2112
P 5956 375.231
P 2400 339.9356
K 9312 304.848
K 5625 282.9111
K 7262 283.8365
P 6819 254.9214
K 8566 172.7493
K 5058 105.2903
P 4814 234.3122
P 8852 375.6491
K 4760 216.6827
K 2541 84.8289
K 3889 108.5675
P 8197 208.1181
K 6899 24.9137
K 6021 82.9666
P 3550 297.5039
P 2659 293.0171
P 5086 375.9956
P 6440 357.6671
P 201 253.7282
K 6109 210.2188
K 540 83.0145
P 1545 161.8962
P 236 179.778
K 5247 70.3379
K 5369 208.4375
P 5081 301.8298
P 8733 372.8877
P 5552 195.817
P 9537 181.877
P 3183 247.8527
P 4774 373.6053
P 7822 356.9419
P 6558 227.4481
K 4271 92.0808
P 3326 163.7139
K 3009 100.2436
P 721 382.1456
K 9156 290.7166
K 2252 84.2505
K 1024 125.2969
P 9837 118.4276
K 6499 291.3047
P 6545 356.7587
P 7539 270.9411
P 4282 355.9762
K 8629 0.316
K 9486 119.9661
K 7312 213.3768
P 6503 357.8166
P 7380 291.093
P 1246 247.7727
K 7356 285.5555
K 6899 286.1096
K 1292 126.0684
P 7341 206.644
P 2803 358.0171
K 9266 123.4482
K 2646 287.6725
K 2459 106.0793
P 6137 357.5578
P 2763 187.3381
K 9186 112.0835
K 6963 288.3777
K 9731 38.4293
K 633 289.1108
K 1009 178.6957
K 755 290.1981
K 2604 290.5459
P 2840 181.3729
K 5764 290.9709
P 7710 139.1283
K 8033 222.1363
P 6939 357.6757
P 800 197.9433
K 768 286.5222
P 5008 187.8419
P 464 358.3493
P 817 195.1346
P 8828 206.9273
P 1110 33.5092
K 8125 288.6981
P 1326 356.8268
P 7766 3.3893
P 5929 0.0531
K 5218 3.0196
K 9082 3.0368
P 2213 354.0452
P 8875 0.0743
K 2984 295.4561
K 5684 291.9415
P 1833 309.9507
P 2191 256.5621
P 7406 308.3919
