P 88 9.8679
P 806 5.1272
P 977 10.795
P 139 551.3986
P 703 548.1671
P 69 548.3991
P 137 538.0608
K 300 0.052
K 218 0.2217
P 300 530.8856
K 958 0.0577
P 389 530.8587
K 294 0.0632
P 325 530.6238
P 2 0.1624
K 852 0.4025
P 820 0.4502
K 728 0.4193
K 714 0.0117
P 192 530.2661
K 816 0.0132
P 890 529.9816
K 394 0.0092
K 891 0.0362
K 267 0.0143
P 864 529.742
P 840 0.0262
K 82 0.007
P 470 0.0291
K 98 0.0139
K 507 0.0117
P 484 0.0245
P 992 0.431
K 16 0.0374
K 639 0.0113
P 997 528.1364
K 136 0.0111
P 877 0.3191
K 909 0.05
P 38 530.2422
K 517 0.0115
P 514 525.7569
P 86 525.7505
P 103 525.5562
K 142 0.501
K 815 0.0142
P 167 0.0271
P 291 0.0245
P 390 525.6891
P 882 0.3905
K 913 0.0208
K 276 1.3787
P 879 525.2294
K 209 0.0178
K 269 0.0373
P 420 523.2648
K 248 0.0135
P 719 525.472
P 985 526.9872
P 944 525.3147
P 165 525.1426
P 588 526.4847
P 268 523.5156
P 440 524.8898
P 168 526.5038
K 869 0.0129
K 942 0.0643
K 602 0.0932
K 387 0.1395
K 826 0.0587
K 845 0.0574
K 244 0.3471
P 811 0.0262
K 469 0.3677
K 606 0.0388
K 692 0.0109
K 914 0.0096
K 403 0.3332
P 961 525.4072
K 647 1.0839
P 876 1.2261
K 915 0.8832
K 144 0.0434
P 980 526.6417
K 942 1.3699
P 858 0.2156
P 332 527.2963
K 804 1.6519
P 793 0.4341
P 967 0.7479
K 881 0.5768
K 131 2.4128
P 83 0.2639
P 107 0.024
K 623 0.0345
P 523 0.0188
K 454 0.0306
P 671 499.2494
K 747 3.3565
K 79 0.0341
K 234 0.6527
K 534 0.0288
P 887 0.7678
P 484 0.0206
P 262 0.8265
K 923 3.9248
P 501 500.3407
P 505 531.9324
K 272 4.0984
K 20 0.031
K 517 0.6706
K 656 4.8423
K 187 0.7708
P 882 533.3228
K 549 4.5979
P 405 0.0254
K 342 4.1294
P 800 501.6939
K 177 0.0277
P 475 0.0214
P 669 0.0233
K 182 0.0285
K 717 0.024
K 11 4.7328
K 437 0.0324
P 310 501.7107
K 938 4.4756
P 317 501.7136
K 481 0.0584
P 487 501.8908
P 865 0.7547
P 36 501.7757
K 764 1.092
K 423 0.0304
P 565 0.8715
K 610 4.5143
P 574 501.9666
P 292 0.351
K 999 0.618
P 811 0.3648
K 465 0.3203
P 973 502.1678
K 546 0.3799
K 670 0.4227
P 900 0.3337
K 645 0.3301
P 63 502.4001
P 364 0.3438
K 866 0.2726
P 970 502.3187
K 918 0.3155
P 995 0.4133
K 284 9.6583
P 85 502.4735
K 215 0.1758
K 27 5.3541
P 952 502.285
K 262 10.8759
K 39 0.0808
K 430 0.0237
P 493 0.0175
K 74 0.0365
K 328 0.0226
K 588 5.8837
P 943 0.8744
K 661 0.8487
P 175 503.5439
K 234 0.0317
P 691 0.0243
K 199 0.0432
K 8 0.0655
K 756 0.7439
P 745 0.6985
P 275 0.0222
K 946 1.056
P 831 1.5212
K 74 0.0268
K 41 0.0473
P 107 0.0223
K 186 8.269
P 707 505.2189
K 656 0.0239
K 697 0.0218
P 813 0.0129
K 348 0.0215
P 253 0.0083
K 524 0.0221
K 271 0.0218
P 536 505.9433
P 763 505.9315
K 807 8.3296
P 426 0.7808
K 942 7.1562
P 14 505.8516
P 903 505.8829
K 855 13.9116
P 768 0.2649
P 389 0.0155
P 7 0.0142
K 893 0.6833
P 787 0.3111
K 674 18.2605
K 807 0.2454
P 595 0.0162
P 216 505.5072
P 275 0.0205
K 958 0.3519
P 877 0.2768
K 646 7.2152
K 910 0.0177
P 788 504.6917
P 672 0.0168
K 903 0.0153
P 37 0.022
P 458 504.9738
P 5 504.9351
P 725 0.0153
K 936 7.9027
P 904 0.5229
K 856 0.2916
P 436 0.014
P 710 0.0101
P 31 505.0798
K 107 0.0309
K 825 0.6144
K 504 0.0236
P 545 0.9466
K 141 0.0301
P 78 0.0129
K 433 0.3608
P 95 0.0144
P 65 505.3663
P 581 505.489
P 962 0.0129
P 26 0.37
K 830 15.5502
P 633 0.0157
P 465 501.1853
K 489 9.5842
K 995 0.4948
P 668 501.1945
K 514 15.9373
K 201 0.0142
P 960 0.3206
K 830 0.6
P 511 0.5777
K 862 0.0259
P 502 0.0207
P 566 501.6892
K 586 0.4457
P 174 501.6546
P 690 0.0173
K 985 0.0193
P 27 0.0166
P 434 0.0131
P 269 501.9521
K 428 0.5916
P 112 0.6764
K 921 0.0439
P 809 0.0158
K 164 21.6632
P 724 0.0165
K 980 0.0189
P 375 0.0142
K 605 0.0158
P 321 0.0179
K 10 0.024
P 373 502.5828
P 590 502.1502
K 635 0.0212
K 63 1.381
K 307 0.0168
K 377 13.1506
K 116 0.0304
P 687 1.983
P 118 1.9026
P 196 0.0141
P 351 2.1611
P 8 0.0308
K 668 2.3031
K 944 0.0946
P 508 0.7755
K 336 0.4761
P 915 501.3937
P 391 0.0148
P 945 0.2644
K 220 13.2909
K 742 0.6266
K 364 0.0208
P 936 0.4093
K 976 13.3292
P 303 0.0127
P 522 0.0138
K 347 1.4069
K 158 0.0408
K 353 13.6035
K 275 0.0207
P 618 0.335
K 615 26.8037
P 119 499.1723
P 255 0.3469
P 664 0.0123
K 808 22.0885
P 148 499.3388
K 335 13.4855
P 859 499.4009
K 363 0.3439
